,Date,sku_id,category,units sold,promotions,unit_price,stock_in_hand,Customer Visits,Conversion Rate,is_holiday,is_week_before_holiday
0,2023-01-01,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,92.0,1736,0.0023,0,1
1,2023-01-02,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,88.0,749,0.0027,1,0
2,2023-01-03,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,86.0,643,0.0,0,0
3,2023-01-04,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,86.0,310,0.0032,0,0
4,2023-01-05,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,85.0,1448,0.0021,0,0
5,2023-01-06,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,82.0,506,0.004,0,0
6,2023-01-07,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,80.0,334,0.003,0,0
7,2023-01-08,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,79.0,1117,0.0036,0,0
8,2023-01-09,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,75.0,236,0.0042,0,1
9,2023-01-10,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,74.0,734,0.0041,0,1
10,2023-01-11,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,71.0,1065,0.0028,0,1
11,2023-01-12,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,68.0,528,0.0,0,1
12,2023-01-13,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,68.0,803,0.005,0,1
13,2023-01-14,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,64.0,317,0.0032,0,1
14,2023-01-15,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,63.0,516,0.0,0,1
15,2023-01-16,1023-003/0212-83/BISQUE,Bar Stools,6,On Promotion,323.0,63.0,1230,0.0049,1,0
16,2023-01-17,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,57.0,409,0.0024,0,0
17,2023-01-18,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,56.0,708,0.0,0,0
18,2023-01-19,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,56.0,1188,0.0034,0,0
19,2023-01-20,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,52.0,1300,0.0031,0,0
20,2023-01-21,1023-003/0212-83/BISQUE,Bar Stools,5,On Promotion,323.0,48.0,1178,0.0042,0,0
21,2023-01-22,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,43.0,690,0.0029,0,0
22,2023-01-23,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,41.0,728,0.0,0,0
23,2023-01-24,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,41.0,467,0.0043,0,0
24,2023-01-25,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,39.0,535,0.0037,0,0
25,2023-01-26,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,37.0,653,0.0046,0,0
26,2023-01-27,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,34.0,622,0.0048,0,0
27,2023-01-28,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,31.0,673,0.003,0,0
28,2023-01-29,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,29.0,897,0.0033,0,0
29,2023-01-30,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,26.0,817,0.0049,0,0
30,2023-01-31,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,22.0,232,0.0043,0,0
31,2023-02-01,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,21.0,360,0.0028,0,0
32,2023-02-02,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,20.0,1039,0.0029,0,0
33,2023-02-03,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,17.0,180,0.0056,0,0
34,2023-02-04,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,16.0,265,0.0038,0,0
35,2023-02-05,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,15.0,495,0.004,0,0
36,2023-02-06,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,13.0,558,0.0036,0,0
37,2023-02-07,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,11.0,614,0.0033,0,0
38,2023-02-08,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,9.0,454,0.0044,0,0
39,2023-02-09,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,7.0,389,0.0026,0,0
40,2023-02-10,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,6.0,567,0.0053,0,0
41,2023-02-11,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,8.0,1037,0.0029,0,0
42,2023-02-12,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,5.0,706,0.0042,0,0
43,2023-02-13,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,73.0,1807,0.0022,0,1
44,2023-02-14,1023-003/0212-83/BISQUE,Bar Stools,6,On Promotion,323.0,69.0,1701,0.0035,0,1
