,Date,sku_id,category,units sold,promotions,customers_visits,conversion_rate,unit_price,stock_in_hand,is_holiday,is_week_before_holiday
0,2023-01-01,1023-003/0212-83/BISQUE,Bar Stools,18,On Promotion,431,0.0418,323.0,328.0,0,1
1,2023-01-02,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,328,0.0152,323.0,310.0,1,0
2,2023-01-03,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,295,0.0169,323.0,305.0,0,0
3,2023-01-04,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,530,0.0113,323.0,300.0,0,0
4,2023-01-05,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,393,0.0153,323.0,294.0,0,0
5,2023-01-06,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,321,0.0156,323.0,288.0,0,0
6,2023-01-07,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,391,0.023,323.0,283.0,0,0
7,2023-01-08,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,361,0.0166,323.0,274.0,0,0
8,2023-01-09,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,233,0.0172,323.0,268.0,0,1
9,2023-01-10,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,299,0.0201,323.0,264.0,0,1
10,2023-01-11,1023-003/0212-83/BISQUE,Bar Stools,14,On Promotion,361,0.0388,323.0,258.0,0,1
11,2023-01-12,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,366,0.0191,323.0,244.0,0,1
12,2023-01-13,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,280,0.0321,323.0,237.0,0,1
13,2023-01-14,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,338,0.0148,323.0,228.0,0,1
14,2023-01-15,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,223,0.0224,323.0,223.0,0,1
15,2023-01-16,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,226,0.0221,323.0,218.0,1,0
16,2023-01-17,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,264,0.0189,323.0,213.0,0,0
17,2023-01-18,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,463,0.0238,323.0,208.0,0,0
18,2023-01-19,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,362,0.0166,323.0,197.0,0,0
19,2023-01-20,1023-003/0212-83/BISQUE,Bar Stools,13,On Promotion,622,0.0209,323.0,191.0,0,0
20,2023-01-21,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,259,0.0193,323.0,178.0,0,0
21,2023-01-22,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,268,0.0187,323.0,173.0,0,0
22,2023-01-23,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,285,0.0175,323.0,168.0,0,0
23,2023-01-24,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,279,0.0143,323.0,163.0,0,0
24,2023-01-25,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,379,0.0185,323.0,159.0,0,0
25,2023-01-26,1023-003/0212-83/BISQUE,Bar Stools,13,On Promotion,364,0.0357,323.0,152.0,0,0
26,2023-01-27,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,274,0.0219,323.0,139.0,0,0
27,2023-01-28,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,193,0.0207,323.0,133.0,0,0
28,2023-01-29,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,309,0.0162,323.0,129.0,0,0
29,2023-01-30,1023-003/0212-83/BISQUE,Bar Stools,8,On Promotion,237,0.0338,323.0,124.0,0,0
30,2023-01-31,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,277,0.0181,323.0,116.0,0,0
31,2023-02-01,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,424,0.0165,323.0,111.0,0,0
32,2023-02-02,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,380,0.0184,323.0,104.0,0,0
33,2023-02-03,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,362,0.0138,323.0,97.0,0,0
34,2023-02-04,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,289,0.0173,323.0,92.0,0,0
35,2023-02-05,1023-003/0212-83/BISQUE,Bar Stools,8,On Promotion,279,0.0287,323.0,87.0,0,0
36,2023-02-06,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,229,0.048,323.0,79.0,0,0
37,2023-02-07,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,194,0.0258,323.0,68.0,0,0
38,2023-02-08,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,541,0.0111,323.0,63.0,0,0
39,2023-02-09,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,492,0.0142,323.0,57.0,0,0
40,2023-02-10,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,169,0.0237,323.0,50.0,0,0
41,2023-02-11,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,323,0.0155,323.0,46.0,0,0
42,2023-02-12,1023-003/0212-83/BISQUE,Bar Stools,8,On Promotion,281,0.0285,323.0,41.0,0,0
43,2023-02-13,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,407,0.0098,323.0,33.0,0,1
44,2023-02-14,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,338,0.0148,323.0,29.0,0,1
45,2023-02-15,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,465,0.0151,323.0,24.0,0,1
46,2023-02-16,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,426,0.0164,323.0,17.0,0,1
47,2023-02-17,1023-003/0212-83/BISQUE,Bar Stools,10,Off Promotion,449,0.0223,323.0,15.0,0,1
48,2023-02-18,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,331,0.0302,323.0,15.0,0,1
49,2023-02-19,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,343,0.0146,323.0,10.0,0,1
50,2023-02-20,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,295,0.0373,323.0,16.0,1,0
51,2023-02-21,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,322,0.0186,323.0,11.0,0,0
52,2023-02-22,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,249,0.0241,323.0,11.0,0,0
53,2023-02-23,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,444,0.0135,323.0,11.0,0,0
54,2023-02-24,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,362,0.0138,323.0,10.0,0,0
55,2023-02-25,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,277,0.0217,323.0,11.0,0,0
56,2023-02-26,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,340,0.0176,323.0,11.0,0,0
57,2023-02-27,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,311,0.0161,323.0,10.0,0,0
58,2023-02-28,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,331,0.0151,323.0,10.0,0,0
59,2023-03-01,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,364,0.0192,323.0,12.0,0,0
60,2023-03-02,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,404,0.0149,323.0,11.0,0,0
61,2023-03-03,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,277,0.0144,323.0,5.0,0,0
62,2023-03-04,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,375,0.0293,323.0,183.0,0,0
63,2023-03-05,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,256,0.0195,323.0,172.0,0,0
64,2023-03-06,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,199,0.0302,323.0,167.0,0,0
65,2023-03-07,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,398,0.0151,323.0,161.0,0,0
66,2023-03-08,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,452,0.0133,323.0,155.0,0,0
67,2023-03-09,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,355,0.031,323.0,149.0,0,0
68,2023-03-10,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,384,0.013,323.0,138.0,0,0
69,2023-03-11,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,378,0.0132,323.0,133.0,0,0
70,2023-03-12,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,322,0.0155,323.0,128.0,0,0
71,2023-03-13,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,315,0.0159,323.0,123.0,0,0
72,2023-03-14,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,324,0.0154,323.0,118.0,0,0
73,2023-03-15,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,411,0.017,323.0,113.0,0,0
74,2023-03-16,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,349,0.0201,323.0,106.0,0,0
75,2023-03-17,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,267,0.0187,323.0,99.0,0,0
76,2023-03-18,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,277,0.0325,323.0,94.0,0,0
77,2023-03-19,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,339,0.0147,323.0,85.0,0,0
78,2023-03-20,1023-003/0212-83/BISQUE,Bar Stools,8,On Promotion,295,0.0271,323.0,80.0,0,0
79,2023-03-21,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,267,0.0187,323.0,72.0,0,0
80,2023-03-22,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,345,0.0203,323.0,67.0,0,0
81,2023-03-23,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,307,0.0228,323.0,60.0,0,0
82,2023-03-24,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,322,0.0311,323.0,53.0,0,0
83,2023-03-25,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,302,0.0199,323.0,43.0,0,0
84,2023-03-26,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,235,0.0213,323.0,37.0,0,0
85,2023-03-27,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,287,0.0174,323.0,32.0,0,0
86,2023-03-28,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,282,0.0213,323.0,27.0,0,0
87,2023-03-29,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,414,0.0145,323.0,21.0,0,0
88,2023-03-30,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,467,0.0107,323.0,15.0,0,0
89,2023-03-31,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,305,0.0164,323.0,10.0,0,0
90,2023-04-01,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,265,0.0189,323.0,10.0,0,0
91,2023-04-02,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,231,0.0216,323.0,10.0,0,0
