Date,sku_id,category,units sold,promotions,customers_visits,conversion_rate,unit_price,stock_in_hand,is_holiday,is_week_before_holiday
2023-12-12,1023-003/0212-83/BISQUE,Bar Stools,18,On Promotion,431,0.0418,323.0,64.0,0,1
2023-12-13,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,328,0.0152,323.0,46.0,1,0
2023-12-14,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,295,0.0169,323.0,41.0,0,0
2023-12-15,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,530,0.0113,323.0,36.0,0,0
2023-12-16,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,393,0.0153,323.0,30.0,0,0
2023-12-17,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,321,0.0156,323.0,24.0,0,0
2023-12-18,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,391,0.023,323.0,19.0,0,0
2023-12-19,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,361,0.0166,323.0,10.0,0,0
2023-12-20,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,233,0.0172,323.0,7.0,0,1
2023-12-21,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,299,0.0201,323.0,9.0,0,1
2023-12-22,1023-003/0212-83/BISQUE,Bar Stools,14,On Promotion,361,0.0388,323.0,17.0,0,1
2023-12-23,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,366,0.0191,323.0,10.0,0,1
2023-12-24,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,280,0.0321,323.0,12.0,0,1
2023-12-25,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,338,0.0148,323.0,8.0,0,1
2023-12-26,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,223,0.0224,323.0,8.0,0,1
2023-12-27,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,226,0.0221,323.0,8.0,1,0
2023-12-28,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,264,0.0189,323.0,8.0,0,0
2023-12-29,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,463,0.0238,323.0,14.0,0,0
2023-12-30,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,362,0.0166,323.0,9.0,0,0
