Date,sku_id,unit_sold,unit_price,nap,customer_city,customer_type
2024-11-01,BXCM1783,1,367.5,60614-3706,Chicago,B2B
2024-11-01,BXCL1785,2,356.5,53066-1658,,
2024-11-01,BXCM3934,1,950.5,63073,,
2024-11-01,BXCM5353,1,15.0,84042,Lindon,SP
2024-11-01,BXCM5368,1,15.0,84042,Lindon,SP
2024-11-01,BXCM5375,1,15.0,84042,Lindon,SP
2024-11-01,BXCM5361,1,15.0,84042,Lindon,SP
2024-11-02,BXCM1778,1,1104.5,08055-1210,Medford,B2B
2024-11-02,BXCM4079,1,2771.0,54754-8037,Merrillan,
2024-11-03,BXCM3765,1,994.5,45750-3026,Marietta,
2024-11-03,BXCM5157,1,1214.5,33928-3334,Estero,
2024-11-03,BXCM5157,1,1214.5,30080-4142,Smyrna,
2024-11-04,BXCM4924,1,532.5,33913-6964,Fort Myers,
2024-11-04,BXCM5157,1,1214.5,38112,Memphis,
2024-11-04,BXCM1656,1,241.0,02360-5135,Plymouth,
2024-11-04,BXCL1562,1,433.5,20147-5313,Ashburn,
2024-11-04,BXCM3765,1,994.5,V1K 1B8,Merritt,
2024-11-04,BXCL1551,1,1192.5,20147-5313,Ashburn,
2024-11-04,BXCM5367,1,15.0,15143-1171,Sewickley,SP
2024-11-04,BXCM5361,1,15.0,15143-1171,Sewickley,SP
2024-11-04,BXCM5372,1,15.0,15143-1171,Sewickley,SP
2024-11-04,BXCL1609,1,422.5,33040-5236,Key West,
2024-11-04,BXCM4492,1,1137.5,30642-7471,Greensboro,B2B
2024-11-05,BXCL1150,1,285.0,97330,Corvallis,
2024-11-05,BXCM2363,1,139.75,02632-3239,Centerville,
2024-11-05,BXCM3790,1,121.5,85340-5257,Litchfield Park,
2024-11-05,BXCL1150,1,285.0,33404-5913,Riviera Beach,B2B
2024-11-05,BXCL1609,1,422.5,02655,Osterville,
2024-11-05,BXCL1511,1,928.5,29926-2755,Hilton Head Island,
2024-11-06,BXCM1656,2,241.0,29492-8421,Charleston,
2024-11-06,BXCM4490,1,417.0,78373-4129,Port Aransas,
2024-11-06,BXCM3690,1,587.5,33139-1356,Miami Beach,
2024-11-06,BXCM1635,1,697.5,33139-1356,Miami Beach,
2024-11-06,BXCM4525,1,268.5,46765,Leo,
2024-11-06,BXCM4734,1,285.0,79416-4720,Lubbock,
2024-11-06,BXCL1100,1,326.7,34216,Anna Maria,
2024-11-06,BXCM1616,1,587.5,46224-3333,Speedway,
2024-11-06,BXCM1016,1,466.5,33037,Key Largo,
2024-11-07,BXCM5157,1,1104.5,33884-3719,Winter Haven,B2B
2024-11-07,BXCM1784,2,422.5,32937-5101,Satellite Beach,B2B
2024-11-07,BXCM1617,1,884.5,14580-8584,Webster,B2B
2024-11-07,BXCM1667,1,417.0,44223-3739,Akron,
2024-11-07,BXCL1100,1,326.7,98332-9043,Gig Harbor,
2024-11-07,BXCL1327,1,429.0,98332-9043,Gig Harbor,
2024-11-07,BXCM1016,1,466.5,33957-6564,Sanibel,B2B
2024-11-08,BXCL1150,1,285.0,76049-4615,Granbury,
2024-11-08,BXCL1408,1,301.5,55904-8012,Rochester,
2024-11-08,BXCM5361,1,15.0,44121-4027,South Euclid,SP
2024-11-08,BXCM3765,1,1126.5,32097-3566,Yulee,
2024-11-08,BXCM4493,1,697.5,32456-0248,Mexico Beach,B2B
2024-11-08,BXCM4487,1,499.5,32456-0248,Mexico Beach,B2B
2024-11-09,BXCM1606,1,395.0,60546-2360,Riverside,B2B
2024-11-09,BXCM1617,1,884.5,02532-8315,Bourne,B2B
2024-11-10,BXCM3765,1,994.5,35653-7077,Russellville,
2024-11-10,BXCL1150,1,285.0,33405-1580,West Palm Beach,
2024-11-10,BXCL1656,1,945.0,10128-5050,New York,
2024-11-10,BXCL1609,1,422.5,76571-5906,Salado,
2024-11-11,BXCM5157,1,1214.5,70448-5627,Mandeville,B2B
2024-11-11,BXCM5157,1,1104.5,27577-3947,Smithfield,
2024-11-11,BXCM5369,1,15.0,48073-2644,Royal Oak,SP
2024-11-11,BXCM5365,1,15.0,48073-2644,Royal Oak,SP
2024-11-11,BXCM5157,1,1214.5,29401-2531,Charleston,
2024-11-11,BXCM1783,1,367.5,80909-1314,Colorado Springs,
2024-11-11,BXCM1667,1,417.0,92596-8619,Winchester,
2024-11-11,BXCM5152,4,191.5,92596-8619,Winchester,
2024-11-12,BXCM4596,1,477.5,33414-7135,Wellington,
2024-11-12,BXCM5020,1,1346.5,65279,Rocheport,B2B
2024-11-12,BXCM1655,1,945.0,34228-1609,Longboat Key,
2024-11-12,BXCM3778,1,868.0,22030,Fairfax,
2024-11-12,BXCM1803,1,565.5,33957-5712,Sanibel,
2024-11-13,BXCM4487,2,499.5,33037,Key Largo,B2B
2024-11-13,BXCM5353,1,15.0,66502-3817,Manhattan,SP
2024-11-13,BXCM5361,1,15.0,66502-3817,Manhattan,SP
2024-11-13,BXCM5375,1,15.0,66502-3817,Manhattan,SP
2024-11-13,BXCM5157,1,1214.5,28607-7411,Boone,B2B
2024-11-13,BXCM5029,3,263.0,34236-5728,Sarasota,B2B
2024-11-14,BXCM4492,1,1137.5,34113-4016,NAPLES,
2024-11-14,BXCM5360,1,15.0,92675-5428,San Juan Capistrano,SP
2024-11-14,BXCM5353,1,15.0,92675-5428,San Juan Capistrano,SP
2024-11-14,BXCM1653,1,1203.5,34114-6423,Naples,B2B
2024-11-14,BXCM1653,1,1165.0,46835-9634,Fort Wayne,
2024-11-14,BXCM4989,4,830.5,92253-5093,La Quinta,
2024-11-14,BXCL1786,1,642.5,V5A 1T4,Burnaby,B2B
2024-11-15,BXCM2363,1,139.75,63005,Wildwood,
2024-11-15,BXCM2360,1,433.5,49684-9544,Traverse City,B2B
